acc,std,method,batch_size,num_shots,tasks
0.4709,0.0335,LinearProbe,32,1,5
0.5785,0.0401,LinearProbe,32,2,5
0.6941,0.0334,LinearProbe,32,4,5
0.7641,0.0129,LinearProbe,32,8,5
75.0012,2.6548,LinearProbe_P2,32,8,5
0.7992,0.0172,LinearProbe,32,16,5
23.4106,7.4901,COCOOP,32,1,5
33.4142,7.4704,COCOOP,32,2,5
52.3449,6.4819,KGCOOP,32,1,5
61.3602,3.723,KGCOOP,32,2,5
71.8735,2.5747,KGCOOP,32,4,5
76.298,2.0098,KGCOOP,32,8,5
79.4215,1.4379,KGCOOP,32,16,5
